"","text","favorite_count","retweet_count"
"751","790693",16,1
"752","790651",14,1
"753","790649",13,0
"754","790637",19,0
"755","790633",22,2
"756","790613",27,4
"757","790607",19,0
"758","790589",27,2
"759","790583",24,2
"760","790567",24,2
"761","790547",18,4
"762","790529",24,1
"763","790523",25,1
"764","790519",24,3
"765","790513",26,2
"766","790501",28,4
"767","790481",26,4
"768","790459",31,3
"769","790451",24,2
"770","790429",21,1
"771","790421",27,1
"772","790417",18,1
"773","790403",17,0
"774","790397",33,4
"775","790379",14,1
"776","790369",24,2
"777","790351",16,0
"778","790333",37,3
"779","790331",20,2
"780","790327",19,3
"781","790291",28,2
"782","790289",33,3
"783","790277",23,4
"784","790271",19,2
"785","790261",22,1
"786","790241",27,2
"787","790219",25,2
"788","790201",21,2
"789","790199",28,2
"790","790189",17,0
"791","790171",16,1
"792","790169",25,1
"793","790121",12,1
"794","790099",70,5
"795","790093",43,3
"796","790087",27,1
"797","790063",19,0
"798","790057",26,2
"799","790051",21,1
"800","790043",31,5
"801","790033",44,3
"802","790021",27,2
"803","790003",93,8
"804","789979",35,3
"805","789977",32,6
"806","789967",22,2
"807","789961",24,2
"808","789959",20,3
"809","789941",26,3
"810","789883",20,4
"811","789857",25,1
"812","789851",28,1
"813","789847",18,2
"814","789829",25,5
"815","789823",28,3
"816","789793",19,2
"817","789749",25,2
"818","789739",33,2
"819","789731",12,0
"820","789721",20,0
"821","789713",16,0
"822","789709",23,3
"823","789689",51,1
"824","789683",20,1
"825","789673",19,2
"826","789671",19,2
"827","789653",29,4
"828","789631",24,3
"829","789623",18,2
"830","789611",31,5
"831","789589",27,1
"832","789587",22,1
"833","789577",19,0
"834","789571",23,2
"835","789557",18,1
"836","789533",13,0
"837","789527",21,1
"838","789511",22,3
"839","789493",17,0
"840","789491",16,2
"841","789473",21,2
"842","789443",22,2
"843","789419",23,1
"844","789407",21,1
"845","789391",28,2
"846","789389",32,4
"847","789377",27,1
"848","789367",28,2
"849","789343",25,3
"850","789331",31,3
"851","789323",27,3
"852","789311",25,5
"853","789251",20,3
"854","789227",20,1
"855","789221",16,0
"856","789181",22,1
"857","789169",39,4
"858","789149",24,3
"859","789137",31,5
"860","789133",27,2
"861","789121",19,1
"862","789109",22,2
"863","789101",27,2
"864","789097",30,1
"865","789091",24,1
"866","789077",20,1
"867","789067",16,0
"868","789031",31,0
"869","789029",26,1
"870","789017",13,0
"871","789001",69,8
"872","788999",214,50
"873","788993",37,4
"874","788971",15,2
"875","788959",28,4
"876","788947",17,1
"877","788941",17,1
"878","788933",22,7
"879","788927",21,2
"880","788903",25,2
"881","788897",45,6
"882","788891",39,6
"883","788873",117,14
"884","788869",49,4
"885","788867",34,3
"886","788863",36,3
"887","788849",19,3
"888","788819",32,2
"889","788813",19,1
"890","788789",100,14
"891","788779",26,2
"892","788761",16,0
"893","788719",14,0
"894","788701",16,0
"895","788687",20,2
"896","788677",24,1
"897","788659",18,1
"898","788651",20,2
"899","788621",17,1
"900","788603",16,2
